Agra Fort  ,Agra,Uttar Pradesh,India,"
"," An architectural masterpiece, The Red Fort of Agra or Agra Fort was built by Emperor Akbar in 1573. It is, in fact, a massive fortification located on the right bank of the River Yamuna in Agra, Uttar Pradesh and is made entirely of red sandstone. The fort was once the ersthwhile residence of the Mughals until the year 1638. One of the UNESCO World Heritage Sites and lies at a distance of 2.5 kilometres from another wonder of the modern world - The Famous Taj Mahal. The area of Agra Fort is so massive that it is often referred to as a walled city.  Made from red sandstone brought to Agra all the way from Rajasthan, this imposing structure is as majestic as it is beautiful and delicate.  ","Agra Fort is one of the most special monuments built by the Mughals and has richly decorated buildings. It is the perfect example of the Mughal style of art and architecture and is one of the most visited tourist spots in Agra. Built purely out of red sandstone, this expansive architecture stands out against the soft azure of the sky. Within the premises of the fort lie the most exquisite structures of the Mughals like the Pearl Mosque, Diwan-i I Khas, Diwan-i I Aam, Moti Masjid and Jahangiri Mahal. Each and every one of these edifices has remarkable handiwork and ornamentation that make this place a delight for every history and architecture lover. You can also get a splendid view of Taj Mahal from the Agra Fort! ",Null,2-3 hours,"Sunrise to Sunset (6:00 AM to 6:00 PM)  Indians: INR 40, Foreigners: INR 550, Entry for children (below 15 years): Free"
Shopping in Agra  ,Agra,Uttar Pradesh,India,"
"," Agra is primarily known for its monuments, forts, palaces and mausoleums, but, hidden behind these architectural wonders are the traditional shopping centres and bazaars. It is home to some of the finest handicraft and artefacts markets. The shopping scene in Agra is buzzing with markets, department stores, retail outlets and local bazaars.   ","Most of the major shopping complexes are situated near the Taj Mahal, the most famous ones being Sadar Bazaar, Kinari Bazaar and Munro Road. If you want to buy ethnic clothing, footwear and accessories, you need to head out to the Sadar Bazaar. The Kinari Bazaar is home to a wide choice of handicrafts, along with marble, glassware, rugs, leather and textiles. Apart from offering exquisite items, these bazaars are also reasonable providing umpteen opportunity to practice your bargaining skills.  ",Null,Null,Null
Fatehpur Sikri  ,Agra,Uttar Pradesh,India,"
"," A city, predominantly made of red sandstone, Fatehpur Sikri was founded in 16th century by Mughal Emperor Akbar. It is essentially a fortified city built by the king and had been the capital of his Empire for fifteen years. Now a UNESCO world heritage site and a famous tourist attraction, it is a fine example of Mughal architecture. Fatehpur Sikri is home to Jodha Bai's palace, Jama Mosque, Buland Darwaza, and a Tomb of Salim Chisti among many other famous monuments, each of which, is an integral part of the Indian heritage. ","A unique blend of architectural excellence, as well as religious beliefs - sums up Fatehpur Sikri. This monument was built by Akbar to honour Sheikh Salim Chisti, whose prediction of the birth of a Mughal heir came true while Akbar was visiting the then city of Sikri. In honour of the prophecy, Akbar built this city and Jama Masjid, a stunning mosque which is still in use today. He also undertook the construction of three palaces for each of his favourite wives, one a Hindu, one a Muslim and one a Christian. An Indo-Islamic Masterpiece, Fatehpur Sikri is enclosed by an 11 km long fortification wall which has various gateways. <br/>A paradise for History buffs, this place is a must visit! You can go on a one day trip from Agra to Fatehpur Sikri. ",Null,3 hours,6 AM - 6 PM  Indians: INR 35 Foreigners: INR 550
Itimad-ud-daulah's Tomb  ,Agra,Uttar Pradesh,India,"
"," Often referred to as the ""Baby Taj Mahal"", the tomb of Itimad-ud-daulah is a Mughal mausoleum and often regarded as a copy of the Taj Mahal. This is the first tomb in India made entirely of marble. It is the tomb of Mir Gheyas Beg (later known as Itimad-ud-daulah), who was a minister in the court of Shah Jahan. Visiting Itimad-ud-daulah's Tomb is like taking a step back in time into Agra's history. ","The tomb of Itimad-ud-daulah marks the transition from the first phase of the Mughal architecture to the second. This was the first structure to make use of pietra dura and the first to be built on the banks of the Yamuna River. It basically consists of Indo-Islamic architecture, with the use of arched entrances and octagonal shaped towers. If you take a bird's eye of Itimad-ud-daulah Tomb, it looks like a jewel box set in a garden. This magnificent mausoleum, built on the banks of Yamuna, was to inspire the construction of one of the wonders of the world ""Taj Mahal"" in the later years. ",Null,Null,8:00 AM - 12:00 AM  Indian Adults: INR 30  SAARC/BIMSTEC Adults: INR 30  Foreign Adults: INR 310  Children (below 15 years): Free
"Jama Masjid, Agra  ",Agra,Uttar Pradesh,India,"
"," Jama Masjid at Agra also known as 'Friday Mosque' is a seventeenth-century structure and is one of the largest mosques built by the Mughals in India. Constructed under the reign of Shah Jahan in 1648, Jama Masjid is dedicated to his favourite daughter Jahan Ara Begum. This splendid monument is visible from the Agra Fort with the Agra Fort Railway station right between the two structures. Jama Masjid has huge significance in the Indian history and culture and has been intricately designed with multi coloured marbles and sandstone.  ","The Jama Masjid is built mainly of red sandstone and white marble that stand as a testimony to the magnificent Mughal architecture. The design of Jama Masjid is unique. It has a fountain at the centre and is supported by four kiosks in the courtyard. The interior walls have scriptures in the Persian style praising for Shah Jahan and Jahan Ara. The inlaid panels of work here are quite similar to that of Taj Mahal and is common to all the monuments and structures built by the Mughals in Agra. Every Friday, special prayers are conducted at this mosque which is attended by thousands of devotees. The Tomb of Salim Chisti is a part of the mosque compound. ",Null,1-2 hours,"7:00 AM to 12 Noon,1.30 PM to 6.30 PM  FreeStill Photography charges: INR 30"
"
					Places To Visit In Agra
				", Uttar Pradesh ,"
							India ",,Data Not available,Null,Null
Tomb of Akbar  ,Agra,Uttar Pradesh,India,"
"," The final resting place of the great Mughal Emperor, Akbar, Tomb of Akbar is an important architectural masterpiece of the Mughal era. Located in Sikandra, a suburb of Agra, the tomb is believed to have been built between 1605 and 1618. Although the tomb is the place where one of the greatest emperors of India is buried, the Mughal gardens around it present a beautiful and cheerful facade. Built entirely out of sandstone and white marble,  Emperor Akbar himself oversaw the construction of this tomb until his death. However, the construction of Akbar's Tomb was completed by his son Salim. Unlike the other tombs of famous Muslim kings around the world, the Tomb of Akbar faces towards the rising sun instead of Masjid of Mecca ","The tomb is situated in Sikandra, the outskirts of Agra and spreads over an area of 119 acres. The main tomb is surrounded by a beautiful garden that was designed by Akbar himself. His wife's (Mariam-uz-Zamani Begam) tomb is also located in Sikandra about a kilometre away from Akbar's Tomb. The main structure of the tomb is built out of sandstone and a portion is made from marble. Following Tartary traditions, that state that one must see-through the construction of one's tomb themselves, Akbar lived through the construction of his tomb and built a beautiful garden around it.  ",Null,Null,Null
Taj Mahal  ,Agra,Uttar Pradesh,India,"
"," What is widely considered as the most beautiful building in the world, Taj Mahal is located in the historical city of Agra. It was built by the Mughal Emperor Shah Jahan as a memorial for his third wife, Mumtaz Mahal. Constructed entirely out of white marble in the 17th century, it is among the finest edifices of Mughal architecture. Recognised by the UNESCO as a world heritage site, this monument is also considered to be one of the seven wonders of the modern world. Every year visitors numbering more than the entire population of Agra pass through the magnificent gates to catch a glimpse of this breathtaking monument, and only a few leave disappointed. Shah Jahan said about the Taj that it made ""the sun and the moon shed tears from their eyes"". ","The Taj Mahal stands for the Crown of Palaces in the Persian language. It rises from the dust-beaten earth of <a href=""https://www.holidify.com/state/uttar-pradesh"" rel=""nofollow"">Uttar Pradesh</a>, but even the wildest imaginations leave visitors underprepared for this world wonder. Covering an area of approximately 42 Acres, the Taj Mahal was constructed using white marble obtained from Makrana in Rajasthan. <br/><br/>Rabindranath Tagore described it as ""<em>a teardrop in</em><em> the cheek of eternity</em>"" while Rudyard Kipling said it is ""<em>the embodiment of all things pure</em>"". The construction of the Taj Mahal began in 1631 and took 17 years before it was completed in 1648! The tomb is laid out in a rectangular shape and can be approached through a massive gateway which has an arch and alcoves on either side of it. The Taj, so majestic from the exterior, has equally splendid artistic work done in the interiors. There are water channels and fountains in the entrance which makes the monument even more spectacular. The reflection of this majestic spectacle in the Yamuna is almost poetic in its perfection! ",Null,2 hours,Null
Alpha One Mall  ,Ahmedabad,Gujarat,India,"
"," With malls sprouting up in every city and town and even suburbs, it is hard to miss them in and around you; and quite near the centre of the city is Ahmedabad's largest mall the Alpha One Mall or as it is also called Ahmedabad One Mall. Spreading over an area of 706,000 square feet in the busy Vastrapur area of Ahmedabad, Alpha One Mall is the most extensive mixed-used city centre in the former capital of Gujarat. ","The three floors of the mall are dotted with various national, international and some local brands as well. From one location shop to franchise outlets, there are all types that you can think of. With entertainment facilities like movieplex and a great food court to visit after the show, Alpha One Mall is an ideal spot to spend a full Sunday with family or a Friday afternoon with friends or simply for a window-shopping stroll whenever you feel like. ",Null,Null,10:00 AM - 9:30 PM  No entry fee
Banascraft  ,Ahmedabad,Gujarat,India,"
"," One of the most famous boutiques of Ahmedabad, Banascraft offers a great variety of handmade items. ","Most of the items at Banascraft are handmade and sourced from SEWA, a women_‹_s cooperative society. You can shop here for tote bags, purses, wall hangings, cushion covers, door panels and more. ",Null,Null,Null
Bhadra Fort & Teen Darwaza  ,Ahmedabad,Gujarat,India,"
", The Bhadra Fort and its neighboring environment is the most scenic part of Ahmedabad. Located in the middle of lush greenery the huge 44 acre Fort got its name from the Bhadrakali Temple that it houses. ,"Excellent for photography, the fort has intricate carvings, lattice work and frescos that contribute to the serene atmosphere. There are beautiful arches and inscriptions on its entrance and it houses many Government Departments' Offices now. The Siddi Syed Mosque is within the fort too. Teen Darwaza is nearby only which was once the gateway into the Maidan Shahi, where royal games like polo and processions took place. ",Null,Null,All days of the week: 9:00 AM - 5:00 PM  Free
Calico Textile Museum  ,Ahmedabad,Gujarat,India,"
"," One of the foremost textile museums and a celebrated institute in Indian textiles around the world, Calico Textile Museum is famous for its remarkable collection of fabrics. ","Located in one of Gujarat's beautiful wooden Haveli, the museum is bordered by lush green gardens and fountains that provide an enchanting view. While popular works include sequins, mirrors, beads, silk threads etc., you can also find the fabrics that can be traced back to the times of seventeenth century. ",Null,2-3 hours,"All days of the week except Wednesday:10:15 AM - 12:30 PM2:45 PM - 4:30 PM  Free"
City Shopping  ,Ahmedabad,Gujarat,India,"
", Gujarat is the state of elegance and colours and Ahmedabad as its capital is a hub of colours and aristocracy. The markets here are a mixture of culture and modernity. Ahmedabad is known as the 'Manchester of India' due to a huge number of cloth mills present here. ,"Lal Darwaza, Dhalgarwad, Sindhi Market, Law Garden, CG Road, Manek Chowk, Rani-no-haziro, Fernandes Bridge, Ramakda Market and Raipur Gate are some of the major markets in the city. Ahmedabad's markets offer you with best Chaniya cholis and traditional jewellery items. <br/><br/>Along with big malls, it has exceptional street markets which leave no stone unturned in fulfilling your shopping wishlist. Whether you are a local or a tourist you must clean your hands over the marketplace.<br data-mce-bogus=""1""/> ",Null,2-3 hours,11:00 AM - 11:00 PM
Dada Hari Wav  ,Ahmedabad,Gujarat,India,"
"," Built by a woman of Sultan Begara's harem in 1499AD, these step-wells were made as a retreat during hot summers. Waiting to be filled with rain water, no matter what the weather is, it is always cooler within the Step-wells. ","This ancient structure depicts the architecture of the bygone era. At ground level, much might not be visible. But as one rises just a little (with the help of stairs) there is suddenly a deep cascade of steps plunging down several stories, intricate carvings reflecting in the sunlight. ",Null,Null,Null
Hathisingh Jain Temple  ,Ahmedabad,Gujarat,India,"
"," Dedicated to the 15th Tirthankara of Jains, Dharmanath, this two-storied white marble structure provides a delightful experience and the tiled courtyard is another unique aspect of the temple. ","The courtyard is encircled by daunting row of pergolas with 52 shrines and each shrine shows remarkable designs and fine carvings. Named after Sri Hathee Singh, this temple follows an architectural pattern of the Diwara Jain Temples of Rajasthan. ",Null,1-1.5 hours,Null
"ISKCON Temple, Ahmedabad  ",Ahmedabad,Gujarat,India,"
"," Located close to the Gujarat Samachar Press, The ISKCON Temple in Ahmedabad is the best place to experience spirituality and mental bliss. Also referred to as the 'Hare Krishna Temple', this temple with its calm and peaceful atmosphere, offers the perfect spot for meditation. ","Inside the Hare Krishna Mandir, one can always hear the chantings of Hare Rama Hare Krishna. Many devotional lectures and addresses are arranged for the benefit of devotees, especially those with a spiritual bent of mind. The followers hold sessions in institutes, corporates, etc., to teach the techniques of spiritualizing the daily life. The constant chanting of the holy names is a special feature at the centre.  </",Null,1 - 2 hours,04:30 AM - 09:00 PM  No entry Fee
"Jama Masjid, Ahmedabad  ",Ahmedabad,Gujarat,India,"
"," The Jama Masjid situated in Ahmedabad is one of the largest mosques in India built in the period of 1424. This marvellous edifice formed a major part of the old walled city and was built by Emperor Sultan Ahmed Shah, who is the founder of the Ahmedabad. In addition to being a revered shrine, Jama Masjid also houses the tombs of Ahmed Shah I, his son and his grandson followed by the graves of the queens of the king. ","A beautiful blend of Hindu and Muslim architecture styles, the expanse of the Jama Masjid is a magnificent sight to behold. It was constructed with the purpose of serving as a private shrine to the Sultans and took about 13 years to reach completion. What's interesting to note is that the mosque was built out of stones and rubble rescued from demolished Hindu and Jain temples. The facade of Jama Masjid has a huge archway that welcomes you into the main complex. Made out of intricate stonework, the mosque opens into a splendid courtyard with an abolition pool right in the centre. The most striking feature of the construction is its unique meshwork in the main prayer hall, which allows enough illumination into the room without any direct sunlight. ",Null,1 - 2 hours,6:00 AM - 10:00 PM  Free
Jhulta Minar  ,Ahmedabad,Gujarat,India,"
"," Located in Ahmedabad, Jhuta Minar is one of the most intriguing architectural wonders that the world has ever seen. They are still an unsolvable mystery. What makes the minarets unique is if one of the minarets is shaken then the other minaret shakes within a few seconds, while the connecting passage doesn't transmit any movements or vibrations. Many architects and historians have tried to understand the physics and logic behind the unrelated movements of the minarets. It is these movements that have led to its name, Jhulta Minar which translates to swinging minaret. ","The 500-year-old structure is located in the Sakar Bazar of Ahmedabad. It was initially a part of the Sidi Bashir Mosque which was later torn down during a Gujrat Sultanate war. The minarets were to be the entrance of the mosque. The minarets have a striking architecture that makes them stand out and leave the visitors in awe. The curiosity behind the movement of these minarets is not new, many British men during the Raj have tried to understand the reason for their movement. One Englishman almost had the minarets taken down to understand why they tend to move the way they do. ",Null,1-2 hours,5:30 AM - 9:00 PM  No entry fee
Kamala Nehru Zoo  ,Ahmedabad,Gujarat,India,"
"," Popularly known as Kankaria Zoo, Kamala Nehru Zoo is located at Kankaria, Ahmedabad. By the majestic banks of the tranquil Kankaria Lake, this zoo has been the abode of different animals, reptiles, birds and mammals belonging to different species. ","An ideal place for informal outings and picnics with friends and family, this zoo is considered to be one of the best zoological park in India. ",Null,3-4 hours,Null
Kankaria Lake  ,Ahmedabad,Gujarat,India,"
"," The second largest lake of Ahmedabad, formerly known as Hauz-e-Qutub, Kankaria Lake was built in the 15th century and was later revamped in 2008. Located in the south-eastern part of the city, it is a complete package of entertainment for your family. A pathway circumscribes the lake which has alluring activities and adventures for people of all age groups. ","From balloon safari and zoo to toy trains and amusement park, Kankaria Lake has it all. You can also just rejuvenate in the garden as life in Ahmedabad city unfolds around you. The ecstatic ambience with high-spirited people is a cherry on the cake. It is perfect for evening strolls with multi coloured lights glowing all around its periphery. For adventure buffs, Kankaria Lake lays down a plethora of options for like archery, gymnastics and water rides. The most beguiling festival- Kankaria carnival is celebrated with immense vim and vigour. And you are wrong if the festival seems only a source of amusement to you! It also provides you with a great platform to showcase your talent in different competitions. <br/><br/>Kankaria Lake is a place where entertainment, culture, knowledge and talent perfectly blend with each other. Looking for a place where you can have ultimate fun with your family? Just head out to Kankaria Lake! ",Null,Null,"9:00 AM - 10:00 PM  Adult: INR 10,  Child: INR 5"
Kapasi Handicraft Emporium  ,Ahmedabad,Gujarat,India,"
"," While Handicrafts from Gujarat are exported to far off places all across the world, you can buy it all from Kapasi Handicraft Emporium. ","They include pottery and handicrafts made out of brass and rare metal work, wall hangings, vases, marble art pieces and more. It is the best place for those who don't like to get into the hassle of bargaining for it_‹_s a fixed price shop. ",Null,Null,Null
Lal Darwaza  ,Ahmedabad,Gujarat,India,"
"," With lots of hawkers selling various items from clothes to electronics items, Lal Darwaza is crowded yet one of the most famous markets of Ahmedabad. ","Sharpen your bargaining skills and shop to your heart's content. You can eat variety of local food in the area like Pani puri, Samosa, Dhokla, various PAN, Dhosa as Lal Bazar is the most popular food street too. Just follow some easy safty tips to avoid any unpleasant incident in the market. ",Null,Null,Null
Lalbhai Dalpatbhai Museum  ,Ahmedabad,Gujarat,India,"
"," Abbreviated as L.D Museum, it has Indian sculptures, bronzes, manuscripts, paintings, drawings, miniature paintings, woodwork, beadwork and ancient and contemporary coins. It was established in 1984. The museum is an outcome of visions of Muni Punyavijayaji, an erudite monk scholar and Sheth Kasturbhai Lalbhai, the well-known industrialist of Ahmedabad. ","The museum is located on the premises of the L.D. Institute of Indology. All the major regional styles of the sub-continent find their place on the ground floor in Madhuri D. Desai Gallery. The museum has finest paintings in Gujarati Jaina Style, some of which are older than Mughal Period. The paintings find their place on the 1st floor of the Museum Building. <br/><br/>In its eastern wing of the Muni Punyavijayaji Gallery, there is a section displaying the Leelavati Lalbhai Woodwork Collection. The museum houses 76,000 handwritten Jain Manuscripts (500 illustrated versions) and 45000 printed books. This makes it as the largest collection of Jain scripts. The old books are written in languages such as Sanskrit, Pali, Old Gujarati, Apabhramsa, Hindi and Rajasthani.<br data-mce-bogus=""1""/> ",Null,Null,10:30 AM - 5:30 PM  Free
Law Garden  ,Ahmedabad,Gujarat,India,"
"," Law Garden, a lush green garden in the middle of a bustling city, is located in Ahmedabad in the colourful Indian state of Gujarat. This well-maintained oasis is frequently visited by locals for recreational purposes. The garden is famous for its market where tourists and locals indulge in shopping and find great deals. The night market is a treat for shoppers as the true colours of Vibrant Gujarat shimmer in the kiosks, and one can find intricate traditional work on the flamboyant items on sale. It's a fabulous place to buy traditional Gujarati apparel, accessories, ornaments and handicraft with traditional handwork on them. ","Law Garden is a true paradise for shopaholics, and one can bargain to their heart's content to get some fantastic deals. If you haggle smartly and persistently, the shop owners usually give in when they fear they are losing a customer. One can buy souvenirs for family and friends or just walk around watching the items on display and soak in the fragrances of some delicious street food. <br/><br/>The Law Garden is also well known for street food. Food enthusiasts often visit the garden to get a taste of the traditional Gujarati snacks. The sounds, the colours and the energetic atmosphere of the place should be experienced at least once in a lifetime. And when you are tired of the bargaining and shopping, just find a spot in the lush greenery of the Garden to rest a moment before you proceed with your plan for the day. ",Null,Null,5:00 AM - 10:00 PM  No Entry Cost
Law Garden Night Market  ,Ahmedabad,Gujarat,India,"
", One of the most famous gardens of Ahmedabad the Law Garden becomes a favorite place for shopaholics with vendors and shopkeepers bustling on the scene. ,"You can buy exclusive wall hangings, bandhej sarees, chaniyas (long colourful skirts), antique jewelry and more at reasonable price if you use your bargaining skills a bit. ",Null,Null,Null
Manek Chawk  ,Ahmedabad,Gujarat,India,"
"," Manek Chowk, a bustling city square, is located in the city of Ahmedabad in the Indian State of Gujarat. It is surrounded by historic structures and is considered a part of Old Ahmedabad. If you have a bigger appetite for shopping, this is the place to be, because Manek Chowk plays three different roles in a day. It is a vegetable market in the morning, a bullion market in the afternoon and a foodies hub in the evening. It is considered as India's second biggest and busiest markets. If you manage to spend an entire day here, you'll know how the afternoon takes over the vegetable market and how dusk takes over the bullion market and transforms it into foodies paradise. ","Manek Chowk is named after Saint Maneknath who is believed to have interrupted Ahmed Shah I's efforts to build Bhadra Fort in 1411. Today the market is estimated to have a turnover of 3 million per year. Locals consider it an apt place for hanging out with friends and family. Your search for the best of women's attire and accessories will end at Manek Chowk for sure because you will find a variety of designs, patterns and traditional work to choose from. <br/><br/>It is also best known for its Kulfi and other snacks like bhaji-pau, Dosa, Sandwiches etc. So when you are tired after an entire day of shopping, this place is apt to grab a delicious bite and breathe for a while before you go back to your hotel. ",Null,Null,"6:00 AM - 2:00 AM, Vegetable Market- 6:00 AM - 12:00 AM,Bullion & Jewellery Market and Rani Ni Hajiro- 12:00 AM - 7:00 PM Food Bazaar- 7:00 PM - 2:00 AM  No entry fee"
R3 The Mall  ,Ahmedabad,Gujarat,India,"
"," One of the most popular shopping malls and leisure destinations in the city, this mall houses about 200 shops, numerous food courts and a 4-screen multiplexes. ",,Null,Null,Null
Radhe Shopping Mall  ,Ahmedabad,Gujarat,India,"
", Enjoy shopping at Radhe Shopping Mall for a great experience and a variety of brands to choose from. ,,Null,Null,Null
